Date,Income,Expense,Investments,Annual Returns
2021-01-01,50000,25000,25000,2000
2022-01-01,50000,25000,52000,4160
2023-01-01,50000,25000,81160,6492.8
2024-01-01,50000,25000,112652.8,9012.224
2025-01-01,50000,25000,146665.024,11733.20192
2026-01-01,50000,25000,183398.2259,14671.85807
2027-01-01,50000,25000,223070.084,17845.60672
2028-01-01,50000,25000,265915.6907,21273.25526
2029-01-01,50000,25000,312188.946,24975.11568
2030-01-01,50000,25000,362164.0616,28973.12493
2031-01-01,50000,25000,416137.1866,33290.97493
2032-01-01,50000,25000,474428.1615,37954.25292
2033-01-01,50000,25000,537382.4144,42990.59315
2034-01-01,50000,25000,605373.0076,48429.84061
2035-01-01,50000,25000,678802.8482,54304.22785
2036-01-01,50000,25000,758107.076,60648.56608
2037-01-01,50000,25000,843755.6421,67500.45137
2038-01-01,50000,25000,936256.0935,74900.48748
2039-01-01,50000,25000,1036156.581,82892.52648
2040-01-01,50000,25000,1144049.107,91523.9286
2041-01-01,50000,25000,1260573.036,100845.8429
