Date,Income,Expense,Investments,Annual Returns
2021-01-01,30000,15000,15000,1200
2022-01-01,30000,15000,31200,2496
2023-01-01,30000,15000,48696,3896
2024-01-01,30000,15000,67592,5407
2025-01-01,30000,15000,87999,7040
2026-01-01,30000,15000,110039,8803
2027-01-01,30000,15000,133842,10707
2028-01-01,30000,15000,159549,12764
2029-01-01,30000,15000,187313,14985
2030-01-01,30000,15000,217298,17384
2031-01-01,30000,15000,249682,19975
2032-01-01,30000,15000,284657,22773
2033-01-01,30000,15000,322429,25794
2034-01-01,30000,15000,363224,29058
2035-01-01,30000,15000,407282,32583
2036-01-01,30000,15000,454864,36389
2037-01-01,30000,15000,506253,40500
2038-01-01,30000,15000,561754,44940
2039-01-01,30000,15000,621694,49736
2040-01-01,30000,15000,686429,54914
2041-01-01,30000,15000,756344,60508
